1,30
2,248
3,12
4,25
5,7
6,40
7,63
8,105
9,156
10,290
11,132
12,42
13,204
14,24
15,45
16,50
17,54
18,15
19,6
20,12
21,60
22,45
23,24
24,100
25,48
26,10
27,16
28,5
29,5
30,7
31,48
32,84
33,16
34,14
35,8
36,5
37,7
38,6
39,24
40,18
41,56
42,6
43,36
44,48
45,5
46,10
47,14
48,7
49,14
50,14
51,8
52,6
53,20
54,6
55,14
56,5
57,10
58,5
59,7
60,8
61,12
62,8
63,8
64,6
65,8
66,10
67,6
68,12
69,12
70,16
71,5
72,7
73,8
74,5
75,5
76,6
77,18
78,5
79,7
80,6
81,5
82,6
83,6
84,20
85,10
86,7
87,6
88,6
89,5
90,15
91,8
92,7
93,5
94,8
95,7
96,5
97,7
98,6
99,8
100,5
101,6
102,6
103,4
104,7
105,6
106,5
107,5
108,6
109,7
110,8
111,5
112,7
