seq,count
799,27
800,29
801,29
802,29
803,19
804,19
805,99
806,21
807,51
808,23
809,37
810,29
811,29
812,46
813,23
814,57
815,33
816,23
817,47
818,19
819,23
820,29
821,38
822,23
823,42
824,21
825,42
826,21
827,21
828,19
829,25
830,19
831,23
832,25
833,29
834,31
835,25
836,23
837,25
838,19
839,97
840,21
841,41
842,41
843,19
844,19
845,19
846,19
847,23
848,23
849,21
850,41
851,37
852,51
853,19
854,29
855,41
856,25
857,37
858,21
859,21
860,19
861,53
862,19
863,35
864,19
865,29
866,23
867,31
868,19
869,23
870,23
871,37
872,76
873,19
874,23
875,33
876,21
877,23
878,21
879,19
880,19
881,19
882,89
883,25
884,21
885,19
886,35
887,23
888,19
889,53
890,25
891,19
892,47
893,19
894,19
895,27
896,19
897,25
898,41
899,37
900,21
901,21
902,31
903,19
904,27
905,21
906,31
907,31
908,23
909,27
910,37
911,23
912,51
913,23
914,23
915,71
916,23
917,39
918,27
919,19
920,19
921,21
922,29
923,23
924,19
925,39
926,31
927,27
928,25
929,29
930,23
931,62
932,19
933,21
934,23
935,19
936,19
937,29
938,29
939,27
940,39
941,27
942,23
943,23
944,23
945,23
946,19
947,25
948,23
949,37
950,23
951,21
952,25
953,23
954,23
955,23
956,23
957,19
958,33
959,123
960,25
961,33
962,27
963,41
964,25
965,33
966,21
967,19
968,67
969,21
970,21
971,29
972,37
973,35
974,45
975,19
976,23
977,23
978,19
979,21
980,23
981,19
982,21
983,23
984,21
985,25
986,23
987,21
988,27
989,27
990,27
991,25
992,19
993,29
994,19
995,25
996,23
997,19
998,21
999,38
1000,19
1001,19
1002,31
1003,25
1004,19
1005,27
1006,19
1007,21
1008,27
1009,37
1010,19
1011,27
1012,37
1013,21
1014,21
1015,21
1016,25
1017,57
1018,27
1019,21
1020,21
1021,29
1022,27
1023,23
1024,19
1025,31
1026,27
1027,35
1028,31
1029,21
1030,23
1031,23
1032,19
1033,19
1034,31
1035,23
1036,21
1037,19
1038,19
1039,127
1040,19
1041,19
1042,37
1043,29
1044,21
1045,19
1046,27
1047,23
1048,67
1049,27
1050,23
1051,33
1052,23
1053,23
1054,23
1055,19
1056,25
1057,27
1058,29
1059,39
1060,39
1061,19
1062,19
1063,25
1064,25
1065,57
1066,21
1067,37
1068,43
1069,19
1070,23
1071,21
1072,23
1073,21
1074,87
1075,19
1076,19
1077,19
1078,25
1079,19
1080,25
1081,19
1082,19
1083,21
1084,41
1085,19
1086,19
1087,21
1088,23
1089,43
1090,23
1091,21
1092,23
1093,57
1094,19
1095,29
1096,29
1097,27
1098,23
1099,23
1100,19
1101,21
1102,38
1103,37
1104,37
1105,25
1106,25
1107,19
1108,39
1109,31
1110,47
1111,27
1112,21
1113,23
1114,21
1115,31
1116,45
1117,27
1118,19
1119,19
1120,57
1121,23
1122,25
1123,19
1124,25
1125,33
1126,23
1127,19
1128,27
1129,51
1130,33
1131,31
1132,19
1133,45
1134,21
1135,21
1136,21
1137,31
1138,55
1139,21
1140,19
1141,23
1142,21
1143,27
1144,65
1145,27
1146,19
1147,25
1148,27
1149,29
1150,21
1151,51
1152,21
1153,33
1154,45
1155,19
1156,19
1157,23
1158,21
1159,27
1160,21
1161,23
1162,21
1163,23
1164,19
1165,19
1166,183
1167,19
1168,19
1169,23
1170,47
1171,27
1172,21
1173,35
1174,23
1175,19
1176,37
1177,39
1178,25
1179,75
1180,21
1181,45
1182,37
1183,33
1184,23
1185,19
1186,25
1187,27
1188,57
1189,33
1190,35
1191,29
1192,27
1193,25
1194,21
1195,21
1196,19
1197,37
1198,19
1199,51
1200,25
1201,21
1202,27
1203,19
1204,19
1205,39
1206,19
1207,35
1208,25
1209,99
1210,27
1211,29
1212,21
1213,21
1214,21
1215,25
1216,19
1217,19
1218,42
1219,27
1220,37
1221,25
1222,23
1223,27
1224,27
1225,19
1226,23
1227,29
1228,27
1229,19
1230,115
1231,31
1232,27
1233,43
1234,21
1235,27
1236,23
1237,23
1238,33
1239,27
1240,47
1241,21
1242,42
1243,31
1244,21
1245,46
1246,21
1247,21
1248,19
1249,29
1250,23
1251,23
1252,19
1253,19
1254,25
1255,21
1256,29
1257,23
1258,25
1259,19
1260,27
1261,27
1262,25
1263,19
1264,19
1265,19
1266,19
1267,23
1268,19
1269,25
1270,19
1271,19
1272,25
1273,79
1274,23
1275,19
1276,19
1277,29
1278,25
1279,35
1280,31
1281,19
1282,19
1283,39
1284,19
1285,21
1286,25
1287,23
1288,23
1289,27
1290,63
1291,25
1292,19
1293,25
1294,27
1295,185
1296,23
1297,37
1298,19
1299,25
1300,23
1301,23
1302,19
1303,19
1304,21
1305,29
1306,57
1307,55
1308,25
1309,19
1310,35
1311,19
1312,21
1313,27
1314,19
1315,29
1316,25
1317,35
1318,29
1319,25
1320,19
1321,39
1322,23
1323,33
1324,39
1325,21
1326,27
1327,19
1328,25
1329,23
1330,37
1331,29
1332,29
1333,21
1334,21
1335,25
1336,21
1337,21
1338,25
1339,27
1340,31
1341,19
1342,35
1343,21
1344,27
1345,21
1346,19
1347,21
1348,23
1349,21
1350,29
1351,42
1352,35
1353,21
1354,19
1355,25
1356,31
1357,23
1358,21
1359,23
1360,33
1361,31
1362,19
1363,19
1364,25
1365,19
1366,29
1367,19
1368,35
1369,23
1370,21
1371,19
1372,19
1373,25
1374,25
1375,29
1376,27
1377,45
1378,19
1379,21
1380,19
1381,31
1382,23
1383,47
1384,37
1385,19
1386,23
1387,25
1388,19
1389,27
1390,19
1391,19
1392,25
1393,19
1394,19
1395,19
1396,29
1397,19
1398,23
1399,19
1400,43
1401,51
1402,21
1403,21
1404,31
1405,19
1406,21
1407,45
1408,31
1409,21
1410,23
1411,25
1412,43
1413,23
1414,21
1415,41
1416,51
1417,19
1418,19
1419,31
1420,19
1421,27
1422,29
1423,21
1424,31
1425,59
1426,21
1427,41
1428,41
1429,21
1430,19
1431,19
1432,53
1433,59
1434,19
1435,37
1436,25
1437,25
1438,29
1439,21
1440,29
1441,25
1442,27
1443,25
1444,49
1445,25
1446,91
1447,21
1448,23
1449,19
1450,29
1451,25
1452,38
1453,47
1454,23
1455,25
1456,21
1457,25
1458,23
1459,25
1460,23
1461,19
1462,81
1463,31
1464,87
1465,37
1466,23
1467,37
1468,29
1469,21
1470,21
1471,25
1472,21
1473,19
1474,21
1475,25
1476,19
1477,19
1478,23
1479,19
1480,25
1481,19
1482,21
1483,23
1484,19
1485,25
1486,23
1487,19
1488,19
1489,35
1490,21
1491,23
1492,23
1493,19
1494,31
1495,25
1496,41
1497,25
1498,41
1499,23
1500,27
1501,23
1502,47
1503,19
1504,23
1505,29
1506,27
1507,19
1508,39
1509,19
1510,19
1511,37
1512,23
1513,25
1514,33
1515,19
1516,27
1517,25
1518,25
1519,19
1520,19
1521,21
1522,49
1523,19
1524,23
1525,19
1526,21
1527,27
1528,19
1529,19
1530,21
1531,23
1532,25
1533,27
1534,21
1535,21
1536,47
1537,35
1538,23
1539,21
1540,19
1541,27
1542,25
1543,33
1544,19
1545,19
1546,19
1547,33
1548,25
1549,21
1550,23
1551,23
1552,93
1553,23
1554,21
1555,23
1556,41
1557,21
1558,23
1559,25
1560,35
1561,23
1562,21
1563,19
1564,23
1565,19
1566,19
1567,35
1568,23
1569,21
1570,27
1571,19
1572,21
1573,21
1574,39
1575,19
1576,27
1577,19
1578,27
1579,19
