1,76
2,6
3,5
4,196
5,105
6,156
7,40
8,42
9,30
10,204
11,44
12,45
13,16
14,50
15,15
16,6
17,45
18,100
19,48
20,36
21,7
22,5
23,5
24,20
25,5
26,16
27,14
28,8
29,18
30,7
31,24
32,18
33,6
34,56
35,6
36,16
37,10
38,14
39,7
40,5
41,14
42,5
43,14
44,12
45,20
46,10
47,7
48,12
49,8
50,6
51,8
52,4
53,5
54,6
55,12
56,16
57,10
58,6
59,7
60,8
61,5
62,5
63,18
64,5
65,7
66,4
67,7
68,20
69,6
70,6
71,6
72,4
73,6
74,5
75,5
76,7
77,6
78,15
79,7
80,8
81,10
82,7
83,5
84,7
85,6
86,6
87,6
88,7
89,6
90,4
91,7
92,7
93,5
94,6
95,8
96,7
