1,1304
2,1032
3,15
4,6
5,108
6,468
7,44
8,100
9,424
10,5
11,40
12,63
13,96
14,105
15,55
16,10
17,132
18,170
19,40
20,85
21,54
22,315
23,120
24,6
25,45
26,52
27,116
28,36
29,28
30,48
31,5
32,5
33,5
34,14
35,5
36,7
37,6
38,5
39,10
40,4
41,56
42,6
43,5
44,5
45,7
46,14
47,5
48,12
49,6
50,20
51,14
52,12
53,8
54,5
55,8
56,5
57,10
58,5
59,12
60,16
61,10
62,6
63,12
64,5
65,7
66,4
67,8
68,5
69,5
70,5
71,6
72,5
73,7
74,6
75,5
76,6
77,20
78,5
79,4
80,15
81,6
82,10
83,15
84,8
85,7
86,5
87,5
88,6
89,5
90,7
91,7
92,8
93,6
94,6
95,15
96,5
97,5
98,7
99,7
100,6
101,5
102,5
103,5
104,8
105,5
