1,808
2,1032
3,15
4,6
5,108
6,25
7,68
8,424
9,20
10,5
11,7
12,40
13,63
14,105
15,55
16,156
17,290
18,10
19,132
20,120
21,170
22,42
23,144
24,64
25,85
26,54
27,315
28,15
29,12
30,5
31,24
32,48
33,68
34,7
35,20
36,5
37,32
38,5
39,5
40,20
41,14
42,8
43,5
44,18
45,7
46,4
47,6
48,5
49,24
50,10
51,6
52,56
53,5
54,36
55,48
56,16
57,7
58,5
59,5
60,14
61,4
62,5
63,20
64,20
65,12
66,6
67,10
68,14
69,10
70,5
71,7
72,8
73,5
74,8
75,10
76,6
77,12
78,16
79,16
80,6
81,12
82,8
83,5
84,6
85,7
86,7
87,5
88,6
89,20
90,6
91,5
92,5
93,6
94,5
95,6
96,6
97,5
98,7
99,15
100,6
101,6
102,5
103,10
104,8
105,7
106,5
107,8
108,6
109,10
110,5
111,5
112,7
113,8
114,6
115,7
116,5
117,5
118,7
119,7
120,6
121,5
122,5
123,6
124,7
125,8
126,5
127,7
